location	Latitude	Longitude
Twin Valley city	47.26	-96.26
Two Harbors city	47.03	-91.67
Tyler city	44.28	-96.14
Ulen city	47.08	-96.26
Underwood city	46.29	-95.87
Upsala city	45.81	-94.57
Urbank city	46.12	-95.51
Utica city	43.98	-91.95
Vadnais Heights city	45.06	-93.07
Vergas city	46.65	-95.8
Vermillion city	44.67	-92.96
Verndale city	46.4	-95.01
Vernon Center city	43.96	-94.17
Vesta city	44.51	-95.41
Victoria city	44.87	-93.66
Viking city	48.22	-96.41
Villard city	45.71	-95.27
Vineland	46.18	-93.78
Vining city	46.26	-95.53
Virginia city	47.52	-92.51
Wabasha city	44.37	-92.04
Wabasso city	44.4	-95.26
Waconia city	44.84	-93.79
Wadena city	46.45	-95.13
Wahkon city	46.12	-93.52
Waite Park city	45.53	-94.24
Waldorf city	43.93	-93.7
Walker city	47.09	-94.59
Walnut Grove city	44.22	-95.47
Walters city	43.6	-93.67
Waltham city	43.82	-92.87
Wanamingo city	44.3	-92.79
Wanda city	44.31	-95.21
Warba city	47.14	-93.27
Warren city	48.19	-96.77
Warroad city	48.92	-95.33
Warsaw	44.25	-93.38
Waseca city	44.08	-93.5
Watertown city	44.96	-93.84
Waterville city	44.22	-93.57
Watkins city	45.32	-94.41
Watson city	45.01	-95.8
Waubun city	47.18	-95.94
Waverly city	45.07	-93.97
Wayzata city	44.97	-93.51
Welcome city	43.67	-94.61
Wells city	43.74	-93.73
Wendell city	46.04	-96.1
West Concord city	44.15	-92.9
West Roy Lake	47.31	-95.6
West St. Paul city	44.9	-93.09
West Union city	45.8	-95.09
Westbrook city	44.04	-95.44
Westport city	45.71	-95.17
Whalan city	43.73	-91.92
Wheaton city	45.81	-96.5
Whipholt	47.04	-94.39
White Bear Lake city	45.07	-93.01
White Earth	47.1	-95.84
Wilder city	43.83	-95.21
Willernie city	45.05	-92.96
Williams city	48.77	-94.95
Willmar city	45.12	-95.06
Willow River city	46.32	-92.84
Wilmont city	43.76	-95.83
Wilton city	47.51	-95
Windom city	43.87	-95.12
Winger city	47.54	-95.99
Winnebago city	43.76	-94.17
Winona city	44.05	-91.67
Winsted city	44.96	-94.05
Winthrop city	44.54	-94.36
